 25330 -                 1999 KV4   IRTF 2003-05-14   3.0 2.11 0.032 2.55 0.032 d 1.11 0.23  4.28 0.058 0.075 0.002 0.084 0.012 0.018 0.001 4,9  
 25330 -                 1999 KV4   Keck 2001-05-10  54.0 2.34 0.060 3.21 0.060 d 1.50 0.11  3.41 0.022 0.098 0.005 0.052 0.004 0.046 0.001 9    
 33342 -                 1998 WT24  ESO  2001-12-04  60.0 0.28 0.012 0.37 0.012 a 1.50 -.99  0.38 0.012 0.840 0.047 0.500 0.030 0.480 0.027 14   
 33342 -                 1998 WT24  IRTF 2001-12-18  67.0 0.32 0.013 0.34 0.013 d 0.90 0.18  0.40 0.007 0.680 0.054 0.590 0.056 0.430 0.022 -    
 33342 -                 1998 WT24  IRTF 2001-12-19  79.0 0.32 0.003 0.44 0.003 d 1.50 0.10  0.38 0.002 0.660 0.012 0.350 0.031 0.480 0.008 -    
 33342 -                 1998 WT24  IRTF 2001-12-21  93.0 0.31 0.002 0.50 0.002 d 1.85 0.20  0.36 0.002 0.700 0.011 0.270 0.020 0.530 0.009 -    
 35396 -                 1997 XF11  IRTF 2002-11-03  63.0 0.83 0.003 1.18 0.003 d 1.80 0.21  1.05 0.010 0.370 0.002 0.180 0.061 0.230 0.001 10   
 35396 -                 1997 XF11  IRTF 2002-11-05  53.0 0.81 0.007 0.91 0.007 d 1.20 0.11  1.07 0.022 0.390 0.045 0.310 0.050 0.220 0.004 10   
 35396 -                 1997 XF11  ESO  2002-11-28  30.0 -.99 -.999 0.89 0.090 d 1.30 0.46 -9.99 -.999 -.999 -.999 0.320 0.128 -.999 -.999 2,10 
 35396 -                 1997 XF11  ESO  2002-11-28  30.0 0.75 0.033 0.80 0.033 a 1.00 -.99  1.16 0.053 0.450 0.047 0.400 0.043 0.190 0.021 2,10 
 85953 -                 1999 FK21  Keck 2002-02-21  35.0 0.58 0.006 0.59 0.006 d 0.91 0.17  0.85 0.010 0.330 0.006 0.320 0.035 0.150 0.002 -    
 86039 -                 1999 NC43  Keck 2000-03-17  59.0 1.22 0.011 2.22 0.011 d 2.86 0.27  1.62 0.011 0.470 0.007 0.140 0.013 0.270 0.003 2,14 
 99935 -                 2002 AV4   ESO  2003-06-02  70.0 -.99 -.999 1.54 0.180 d 1.57 0.31 -9.99 -.999 -.999 -.999 0.370 0.073 -.999 -.999 -    
 99935 -                 2002 AV4   ESO  2003-06-02  70.0 1.10 0.019 1.50 0.019 a 1.50 -.99  1.40 0.022 0.730 0.021 0.380 0.011 0.430 0.012 -    
108519 -                 2001 LF    ESO  2003-06-02  45.0 -.99 -.999 1.67 0.100 d 1.10 0.13 -9.99 -.999 -.999 -.999 0.070 0.006 -.999 -.999 -    
108519 -                 2001 LF    ESO  2003-06-02  45.0 1.70 0.014 1.90 0.014 a 1.50 -.99  2.20 0.023 0.100 0.001 0.060 0.001 0.040 0.001 11   
108519 -                 2001 LF    ESO  2003-06-03  45.0 -.99 -.999 2.10 0.025 a 1.50 -.99 -9.99 -.999 -.999 -.999 0.040 0.001 -.999 -.999 -    
108519 -                 2001 LF    ESO  2003-06-03  45.0 1.50 0.025 2.00 0.120 d 1.40 0.17  2.50 0.031 0.080 0.002 0.050 0.005 0.030 0.001 12   
     0 -                 2000 BG19  Keck 2000-03-17  17.0 1.88 0.023 1.77 0.023 d 0.74 0.10  3.25 0.151 0.038 0.001 0.043 0.011 0.013 0.001 -    
     0 -                 2000 EV70  Keck 2000-03-17  14.0 0.14 0.010 0.15 0.010 a 1.00 -.99  0.22 0.013 0.680 0.072 0.600 0.060 0.290 0.034 14   
     0 -                 2000 PG3   Keck 2000-08-21   2.0 3.90 0.060 4.60 0.060 a 1.00 -.99  8.59 0.210 0.059 0.001 0.042 0.001 0.012 0.001 13   
     0 -                 2001 FY    Keck 2001-05-12  22.0 0.30 0.008 0.32 0.008 a 1.00 -.99  0.48 0.013 0.590 0.025 0.520 0.021 0.230 0.010 14   
     0 -                 2001 HW15  Keck 2001-05-12  11.0 0.16 0.016 0.18 0.016 a 1.00 -.99  0.27 0.032 0.540 0.121 0.430 0.173 0.200 0.060 -    
     0 -                 2002 BM26  Keck 2002-02-21  60.0 0.41 0.002 0.84 0.002 d 3.10 0.13  0.57 0.003 0.094 0.001 0.023 0.001 0.050 0.001 14   
     0 -                 2002 CT46  Keck 2002-02-21  23.0 0.15 0.002 0.16 0.002 a 1.00 -.99  0.24 0.005 0.360 0.012 0.320 0.013 0.150 0.007 14   
     0 -                 2002 QE15  ESO  2002-11-28  50.0 1.15 0.021 1.49 0.021 a 1.50 -.99  1.63 0.040 0.400 0.018 0.240 0.019 0.200 0.012 -    
